FrameNum MouseNum LeftX LeftY RightX RightY
121 0 746 357 789 373
122 0 745 356 790 374
123 0 745 355 787 376
124 0 745 355 789 374
125 0 746 355 790 374
126 0 746 354 790 374
127 0 745 354 791 374
128 0 745 353 791 374
129 0 745 354 791 375
130 0 746 352 791 375
131 0 746 354 790 375
132 0 746 354 791 375
133 0 746 354 792 374
134 0 746 354 792 374
135 0 746 353 791 375
136 0 746 354 790 376
137 0 745 354 789 376
138 0 745 355 791 374
139 0 745 354 791 375
140 0 746 356 791 375
141 0 746 353 791 374
142 0 746 354 790 375
143 0 747 353 791 373
144 0 747 352 791 374
145 0 747 353 791 372
146 0 746 350 791 373
147 0 747 352 792 372
148 0 748 352 792 372
149 0 747 352 793 368
150 0 747 351 793 370
151 0 747 350 793 371
152 0 748 351 793 371
153 0 748 352 793 369
154 0 748 351 793 369
155 0 748 350 792 370
156 0 748 352 793 371
157 0 748 351 794 368
158 0 748 350 792 372
159 0 749 349 790 374
160 0 748 349 791 371
161 0 748 350 791 372
162 0 748 349 791 371
163 0 748 349 793 370
164 0 749 349 794 369
165 0 749 347 792 371
166 0 749 350 793 370
167 0 749 350 794 369
168 0 749 348 794 370
169 0 750 348 794 369
170 0 750 347 793 370
171 0 750 347 795 370
172 0 749 348 795 366
173 0 750 347 794 369
174 0 751 348 794 367
175 0 751 348 795 367
176 0 751 348 795 368
177 0 750 349 794 368
178 0 751 347 795 366
179 0 751 344 796 365
180 0 750 346 796 365
181 0 751 345 796 364
182 0 751 345 797 363
183 0 751 346 797 364
184 0 752 346 795 365
185 0 751 345 796 364
186 0 752 344 798 362
187 0 752 346 797 364
188 0 752 343 797 364
189 0 752 343 797 363
190 0 753 344 797 362
191 0 753 344 797 363
192 0 753 344 797 364
193 0 753 343 796 365
194 0 754 345 797 364
195 0 753 343 796 365
196 0 753 343 797 362
197 0 753 341 798 361
198 0 753 341 799 361
199 0 754 343 799 360
200 0 754 341 798 362
201 0 755 343 797 363
202 0 754 340 797 363
203 0 755 341 798 362
204 0 755 340 797 363
205 0 755 340 797 364
206 0 755 339 800 360
207 0 756 340 799 362
208 0 755 340 799 362
209 0 754 337 797 361
210 0 754 337 798 356
211 0 754 340 796 360
212 0 754 341 803 354
213 0 754 341 800 352
214 0 754 339 799 352
215 0 753 340 798 352
216 0 753 340 798 353
217 0 752 343 797 352
218 0 753 343 797 353
219 0 753 345 795 353
220 0 753 343 798 355
221 0 753 344 798 352
222 0 753 344 798 356
223 0 753 344 798 357
224 0 753 343 798 358
225 0 752 342 798 356
226 0 754 344 796 358
227 0 754 343 797 356
228 0 753 344 797 355
229 0 753 344 793 360
230 0 753 347 793 359
231 0 752 344 794 359
232 0 751 343 793 359
233 0 751 344 794 358
234 0 750 346 793 361
235 0 751 348 794 363
236 0 751 345 790 368
237 0 750 347 794 363
238 0 750 348 791 366
239 0 750 350 792 366
240 0 749 351 794 365
241 0 749 353 789 369
242 0 748 352 791 367
243 0 748 354 789 368
244 0 746 354 790 369
245 0 745 353 789 372
246 0 746 354 788 372
247 0 745 356 788 373
248 0 746 355 789 370
249 0 746 357 789 372
250 0 746 357 790 372
251 0 745 356 790 372
252 0 745 356 790 372
253 0 745 355 790 372
254 0 745 357 789 373
255 0 746 357 789 372
256 0 745 356 789 372
257 0 746 356 789 372
258 0 745 356 789 371
259 0 744 354 788 373
260 0 745 357 789 372
261 0 745 356 788 373
262 0 745 355 788 373
263 0 744 355 788 373
264 0 745 357 789 373
