FrameNum MouseNum LeftX LeftY RightX RightY MouseAngle MouseX MouseY   
55 1 119 82 126 75 99 76 4 
56 1 119 80 128 74 98 76 2 
57 1 123 77 130 72 98 76 355 
58 1 124 77 131 71 98 78 352 
59 1 126 79 130 71 98 78 354 
60 1 126 80 132 72 98 76 0 
61 1 125 79 132 71 98 76 358 
62 1 125 78 132 70 97 75 358 
63 1 124 76 132 70 98 75 356 
64 1 126 77 133 70 98 76 354 
65 1 127 77 133 70 98 75 356 
66 1 127 77 136 69 98 76 354 
67 1 128 76 136 68 98 75 354 
68 1 128 77 135 69 97 75 356 
69 1 128 77 134 68 97 75 354 
70 1 129 76 135 68 97 75 355 
71 1 129 76 134 67 97 75 353 
72 1 129 76 134 68 97 75 354 
73 1 131 78 133 69 97 75 356 
74 1 131 78 134 69 97 75 356 
75 1 136 80 133 68 98 76 356 
76 1 131 82 138 67 98 75 358 
77 1 134 80 132 70 99 75 0 
78 1 137 85 135 73 99 75 6 
79 1 139 87 135 75 99 75 8 
80 1 141 88 136 76 100 75 10 
81 1 137 87 138 75 99 75 8 
82 1 138 84 138 73 99 76 2 
83 1 139 85 135 73 100 75 6 
84 1 140 89 135 74 100 75 9 
85 1 134 87 134 75 100 75 10 
86 1 131 86 135 76 101 75 10 
87 1 134 87 135 75 100 75 10 
88 1 132 87 134 76 99 74 11 
89 1 133 89 134 76 99 74 13 
90 1 129 85 133 75 99 74 10 
91 1 128 85 133 75 98 73 12 
92 1 127 86 133 75 99 73 12 
93 1 125 87 133 75 99 73 14 
94 1 126 86 133 76 100 73 15 
95 1 125 86 134 76 100 73 15 
96 1 125 86 132 76 100 73 15 
97 1 125 86 133 76 101 73 15 
98 1 124 86 133 76 101 73 16 
99 1 125 86 132 76 101 73 16 
100 1 122 86 132 76 100 73 16 
101 1 123 86 132 77 99 75 12 
102 1 123 86 131 76 99 73 15 
103 1 123 85 129 70 99 73 8 
104 1 127 88 125 75 99 73 16 
105 1 127 91 127 79 99 73 23 
106 1 128 90 130 78 99 74 18 
107 1 125 87 131 77 100 75 14 
108 1 123 86 131 77 100 73 16 
109 1 124 84 132 76 100 72 15 
110 1 126 82 132 75 100 76 3 
111 1 125 84 133 74 100 73 11 
112 1 128 85 133 75 100 74 11 
113 1 125 82 133 76 100 74 9 
114 1 125 85 134 76 100 74 11 
115 1 128 83 135 75 100 73 10 
116 1 130 84 134 75 100 74 8 
117 1 130 84 134 76 100 75 8 
118 1 127 84 135 76 101 74 11 
119 1 129 84 135 75 101 75 7 
120 1 126 83 134 76 100 74 9 
